V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
2.9966,0,7.105,4.2425,1.5331,0,0.1186,0,0,0.1699,0.2338,3.3121,6.5053,0,3.7959,5.6237,0.1554,0,0,0.4885,0,1.4719,0,0.2617,0.8456,0.1504,0,0,0.1502,0.1204,0.15,0.2474,0.0225,0.2994,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5548,0,7.2183,2.3765,1.2632,0,0.198,0.1086,0.3194,1.6729,0.2585,3.8139,8.516,0.4827,2.0904,4.09,0.0864,0.0536,0.0091,0.003,0,0.1386,0.1499,0.7408,0.4311,0.032,0,0.0524,0,0.241,0.0318,0.0375,0,0.1884,0,0,0.0681,0.773,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,8.3069,1.6506,2.2258,0.0041,0.0509,0.5176,0,2.2902,1.0912,4.8193,6.3735,0.4916,3.089,6.0682,0,0.4611,0.3774,0.5752,0,0,0.0485,1.0973,0.6066,0.4494,0,0,0,0.4796,0.336,0,0.2239,0.239,0,0,0,0.1271,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.8716,0,7.7715,1.751,0.784,0.1034,0.1502,0,0.2676,1.6685,0.3728,2.5609,4.9111,0.4983,2.4412,3.4634,0,0.1087,0.3639,0,0,1.4251,0.2342,0.736,1.1025,0.3699,0.4163,0.1054,0.2046,0.6428,0.0526,0.1576,0,0.0753,0.0525,0.0525,0.2212,0.0637,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.6518,0,6.9714,3.0619,1.1166,0.0431,0.2408,0,0,0.5215,0.2857,2.7253,6.1688,0.4536,3.8234,4.787,0.1261,0.063,0.6034,0,0,0.3381,0,0.89,1.2487,0.3034,0.1506,0.121,0.6264,0.2741,0.0712,0.082,0,0.0602,0,0,0.1913,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2544,0,5.9463,1.5352,1.3558,0,0,0,0,1.0794,0.458,2.1675,6.6094,0.3856,3.6974,6.1926,0.0559,0,0.6256,0,0.39,0.3235,0.4894,0.7753,1.959,0.3738,0.7781,0,0.1183,0.8096,0.2057,0,0.0523,0,0.0411,0.0821,0.1754,0.0634,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.1767,0,6.7762,2.3728,1.5424,0.3528,0.0059,0,0.6243,1.0374,0.4082,1.9157,5.1596,0.1791,3.6651,5.0171,0,0.034,0.5221,0,0,2.2355,0,1.3274,2.9357,0.864,0.6234,0,1.1121,2.3273,0.0924,0.1848,0.12,0,0,0.0276,0.1932,0.1012,0,0,0,0,0.066,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.883,0,7.6929,2.9648,1.3763,0,0,0,0,0.5501,0.2006,1.3888,5.9387,0.5663,1.8733,3.8097,0.1104,0,0,0.719,0,3.8053,0,1.116,2.1108,1.1245,1.0492,0.1686,2.0518,1.2787,0.3152,0.1873,0.2553,0.4223,0.2475,0.1484,0.2074,0.0641,0,0.0492,0.1131,0.0147,0.1966,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.7842,0,6.1628,2.608,0.992,0.0708,0,0.1792,0.1005,0.9512,0.5713,1.2432,7.4688,0.2983,2.3041,4.2933,0.0346,0.0346,0.177,0.2198,0,3.4513,0,2.3173,2.3501,0.8789,0.9023,0.0434,0.879,2.2183,0.1008,0.314,0,0.872,0.2645,0.1703,0,0.1635,0.0269,0,0.0348,0.1281,0.0233,0.252,0.1154,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2858,0,4.6262,2.1291,1.1461,0.1106,0,0,0,0.992,0.3088,2.075,7.8232,0.3814,1.7739,3.0005,0.0106,0,0.1297,0,0,6.9116,0,1.8707,2.617,0.88,1.688,0.1131,1.0141,2.2839,0.1022,0.164,0.433,1.6252,0.2438,0,0,0.1125,0,0,0.1171,0.0307,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,4.0104,2.7749,1.2899,0.2706,0.1274,0,0,1.1375,0.644,3.0832,12.1038,0.2187,2.4156,4.1824,0.1604,0,0.738,0,0,1.2334,0,2.292,3.1635,0.9168,2.0823,0.0958,2.2994,1.7738,0.3121,0.0749,0,1.0995,0.1168,0.3835,0.3913,0.4147,0.1402,0,0,0,0,0,0.0533,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5441,0,3.8853,1.4845,0.7921,0,0.2925,0,0.0131,1.8424,0.7488,3.0074,11.3452,0.3837,2.4048,4.8725,0.0043,0.0051,0.2849,0,0,1.9764,0,1.9749,2.6439,0.8627,2.0265,0.1392,1.9849,2.77,0.0128,0.3514,0.4686,1.3656,0.5802,0.0898,0.3324,0.1406,0,0.0011,0.0634,0,0,0.0243,0.1266,0,0.1358,0.0185,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6464,0,3.154,1.3413,1.1838,0.268,0,0.0464,0.1155,1.5051,0.31,3.1312,8.1905,0.3696,2.3757,5.1192,0,0.0068,0.3492,0.0579,0.2253,1.643,0.0547,1.6838,0.8764,0.8947,2.2442,0.0744,2.0761,3.112,0.0974,0.9496,0.5398,2.2365,0.6286,0.3534,1.5489,0.9985,1.9243,0.1508,0.0757,0,0,0.0993,0.1237,0,0,1.2182,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.584,0,4.0748,1.5947,1.2158,0,0.0789,0,0,1.1379,0.4741,2.7455,11.4749,0.6945,2.5359,3.9692,0.1397,0.0728,0.106,0,0,1.4977,0,1.4088,1.0243,0.5709,0.966,0.2024,1.615,1.4648,0.0943,0.342,0.1291,2.893,0.3417,0.7353,2.0683,1.7494,1.4246,0.049,0.1081,0.1413,0,0.0332,0.0092,0,0.0147,0,0.0829,0.1351,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7196,0,4.3168,2.8808,1.2218,0,0.1323,0,0,0.8693,0.5297,2.2205,9.091,0.3812,2.118,3.1562,0.1094,0.038,0.4041,0.1015,0,2.3639,0,1.8367,1.3423,0.9463,1.2014,0.0526,0.8783,2.202,0.1005,0.2871,1.0361,3.9434,0.478,0.9964,1.7587,2.0815,2.3856,0.1415,0.2094,0.3079,0,0.0783,0.0155,0,0,0.0519,0,0.0143,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,3.6187,1.7323,0.8975,0.0902,0.1391,0,0.5407,0.9925,0.5575,1.8081,8.3373,0.5001,2.4458,2.7845,0,0,0.432,0,0,3.3758,0,2.3999,2.4993,0.7359,1.1912,0.0909,0.9207,1.4013,0.2911,0.2972,1.734,4.7555,0.1637,0.7973,2.0305,2.2096,3.7905,0.4001,0.4899,0.153,0.0532,0.1574,0.1326,0.0265,0.0265,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.7442,0,4.586,2.1239,0.7205,0.472,0.1642,0,0,1.045,0.7745,2.4718,9.6604,0.4113,2.4592,4.4566,0.0564,0,0.2697,0,0,1.2932,0,1.8142,1.9382,0.6253,1.4739,0.1956,0.6103,1.6607,0.2763,0.2326,1.4457,3.2335,0.3088,0.5963,0.7109,0.7872,1.6956,0.5715,0.568,0.4689,0.0418,0.6564,0.1674,0.0208,0,0.0647,0,0.0012,0,0.1255,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8026,0,6.2261,3.0843,1.4728,0,0,0.4517,0,1.5137,1.063,2.1847,7.7289,0.4966,2.1076,3.3927,0.0862,0.0469,0.4637,0,0,4.1401,0,2.7393,1.756,1.1684,0.8751,0.2325,1.5005,2.3828,0,0.1106,0.8873,3.3559,0.3604,0.0989,1.4797,1.4999,1.1153,0.2055,0.0325,0,0.035,0.3421,0.2793,0.0698,0.0671,0.0992,0,0,0,0,0.0453,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.4492,0,3.5632,3.4171,1.2076,0.5352,0.1686,0.1986,0.066,4.0957,1.8621,1.3105,5.3962,0.0609,1.5057,3.5924,0.0114,0,0.4706,0,0,4.3041,0,2.1505,1.5008,0.5727,1.0901,0,0.209,1.6506,0,0.7652,0.3754,3.7139,0.2021,0.3773,0.8579,1.2933,1.5857,0.2537,0.1798,0.617,0.0374,0.7516,0.1748,0.0349,0.0405,0.3156,0,0,0,0,0.0348,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4395,0,4.1893,2.4217,1.0599,0.3492,0.0504,0.0518,0,3.3564,1.7086,1.6023,4.638,0.3426,1.9814,2.9288,0.1251,0.07,0.0552,0,0,3.6481,0,2.1369,1.7602,0.7437,1.5099,0.1534,1.0365,1.6631,0.2836,0.3091,0.8504,3.7705,0.3718,0.7424,0.6831,1.7472,3.1794,0.3023,0.5414,1.1198,0.0618,0.7907,0.1456,0.0123,0.2074,0.7743,0.0611,0.0237,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4043,0,4.5336,2.6544,0.6592,0.2538,0.0602,0.1055,0.2481,2.3608,1.148,1.2667,4.4016,0.2375,1.7231,2.0362,0.072,0,0.2639,0.0128,0.1309,4.2587,0.124,1.8127,1.3863,0.7219,1.2633,0.1198,0.8475,1.7828,0.1895,0.1621,0.873,4.3372,0.4827,0.6638,1.0838,1.5875,1.9421,0.5262,0.7711,1.7486,0.0725,3.2829,0.3415,0.0503,0.1649,2.2677,0.278,0.0374,0.0259,0.0165,0.0734,0.1317,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5961,0,4.7527,3.4708,1.0109,0.0959,0.0471,0.1919,0.2361,2.9791,2.0651,1.0686,3.0562,0.496,1.6543,3.3807,0.1733,0.1223,0.386,0,0,4.941,0,2.4433,1.5918,0.7402,1.2428,0.0322,1.0682,2.1456,0.158,0.6271,1.3738,5.6656,0.3722,0.4866,0.8826,1.6385,2.8708,0.4469,0.5543,0.9154,0.033,0.5079,0.1484,6e-04,0,1.059,0.2065,0,0,0,0,0.017,0.0162,0.0317,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.939,0,5.5778,3.7377,1.3113,0.2776,0.0107,0.0991,0,3.2951,1.4986,1.0302,3.8122,0.2372,1.8872,2.6583,0.1359,0,0.1122,0,0,4.7055,0,1.9052,1.62,0.8395,1.253,0.0568,1.2346,1.8432,0.1637,0,0.9803,3.804,0.43,0.8072,1.162,2.5527,2.7762,0.4697,1.0346,0.644,0.0211,0.9055,0.2988,0.054,0.1139,1.4487,0.0598,0.08,0,0.0213,0.0319,0.0628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3944,0,5.0049,3.598,1.0441,0.0889,0.0256,0.2321,0.1791,2.5948,1.1373,1.2016,4.3822,0.2235,2.3945,2.9857,0.1118,0,0.4277,0.1401,0,5.8294,0,2.0444,1.424,0.8477,1.2713,0,0.9715,2.0218,0.064,0.0037,1.0895,8.4386,0.4562,0.6563,0.7149,1.1483,2.1564,0.4044,0.8923,1.1399,0.049,0.593,0.4296,0,0.4655,2.0095,0.2307,0.1792,0.0925,0.0608,0,0.0107,0.0473,0,0,0.0363,0.0551,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5217,0,3.873,3.569,1.2507,0.906,0.1894,0,0,3.1785,1.2,1.9173,3.3694,0,2.0034,4.0652,0.0879,0,0.3633,0.2468,0,5.678,0.4589,2.2761,1.1117,0.5702,0.7144,0.0835,0.8627,2.7341,0.1648,0.9764,1.2898,7.8411,0.6424,0.8839,0.5703,1.7528,1.9704,0.6003,1.135,0.9679,0,0.4628,0.4538,0.0412,0.2058,0.8233,0.0816,0.3261,0.3256,0.3246,0.4855,0.3229,0,0,0.1204,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.1116,0,6.2703,3.1794,1.1873,0.4058,0,0,0,1.785,1.0298,1.7369,4.8035,0.0925,1.9409,3.3245,0.0397,0.0646,0,0.0463,0,9.6447,0.0031,2.3139,1.5282,0.8837,0.5664,0.1829,0.1397,3.8964,0,0.7621,1.4876,8.5483,0.5506,0.0937,0,1.4496,1.4845,0.2455,0.4282,0.3367,0,0,0.0721,0,0,0.5967,0.4239,0.1194,0.0944,0.1474,0.4432,0.3697,0.0971,0.0247,0,0,0.0475,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2808,0,6.7236,3.3778,1.0735,0.3226,0.0905,0.0983,0.3967,2.3768,0.928,1.7079,5.6253,0.1354,1.6831,3.6833,0.0235,0,0.157,0.2593,0,7.3403,0,1.6172,1.0593,0.8993,1.5353,0,0.8149,1.8514,0.2608,0.2382,1.2757,8.2637,0.469,0.3649,0.8652,1.2026,1.1895,0.0673,0.6164,0.7144,0,0.1806,0.1087,0,0,0.477,0.2855,0.2427,0.1176,0.1306,0.1956,0.4246,0.1617,0,0,0,0,0.0648,0.022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.575,6.2663,1.5982,0,1.7142,0,0,2.0321,0,0.8056,2.0288,10.3699,0,0.7058,3.2074,0,0,0,0,2.2953,1.6134,0.3524,3.2616,3.1252,0,1.9179,0,5.3028,2.3045,0.0578,0,0,7.2556,0.9836,0.4123,0,0,1.464,0,1.1268,1.1157,0,0.7378,0,0,0.3671,0.3659,0,0,0.3648,0,0,0.3636,0.3624,0.3613,0.1145,0,0,1.0703,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
